Date,Date,Headline
2017-03-29,2017-03-29,Dollar trades at highs; sterling and euro sink 
2017-03-29,2017-03-29,Sterling seesaws as PM May triggers Brexit
2017-03-29,2017-03-29,Forex - Dollar remains broadly higher after upbeat U.S. data
2017-03-29,2017-03-29,Pound off lows as U.K. invokes Brexit article
2017-03-29,2017-03-29,Forex - Greenback little changed vs. loonie in early trade
2017-03-29,2017-03-29,Forex - Sterling off day’s highs as Brexit gets underway
2017-03-29,2017-03-29,Forex - Euro falls on reports that ECB wary of changing message again
2017-03-29,2017-03-29,"Forex - Dollar pushes higher vs. rivals, U.S. data ahead"
2017-03-29,2017-03-29,"Euro looks set for renewed downturn on Brexit, technical factors"
2017-03-29,2017-03-29,Huge range of sterling forecasts clouds horizon for Brexit talks
2017-03-29,2017-03-29,Forex - Dollar holds onto modest gains with Brexit process in focus
2017-03-29,2017-03-29,"Forex - Dollar moves higher, sterling lower before Brexit trigger"
2017-03-29,2017-03-29,"Dollar extends recovery on Fed talk, pound falls on Brexit jitters"
2017-03-29,2017-03-29,"Forex - Aussie almost unchanged, kiwi moves lower vs. stronger greenback"
2017-03-28,2017-03-28,PBOC Sets yuan parity rate at 6.8915 against dollar
2017-03-28,2017-03-28,Forex - British pound weaker in Asia as markets await Brexit details
2017-03-28,2017-03-28,Dollar turns positive on upbeat consumer confidence data
2017-03-28,2017-03-28,Dollar steady above four-month lows as markets await Fed speakers
2017-03-28,2017-03-28,Forex - Canadian dollar almost unchanged against softer greenback
2017-03-28,2017-03-28,Bitcoin is taking off
2017-03-28,2017-03-28,"Forex - Dollar off lows, market sentiment remains shaky"
2017-03-28,2017-03-28,Forex - South African rand down more than 2% as fin-min faces axe
2017-03-28,2017-03-28,Forex - Dollar steadies after falling to multi-month lows
2017-03-28,2017-03-28,Dollar steadies after sell-off on Trump agenda setback
2017-03-27,2017-03-27,Forex - Dollar dips slightly in Asia in cautious trade
2017-03-27,2017-03-27,PBOC Sets yuan parity rate at 6.8782 against dollar
2017-03-27,2017-03-27,Dollar hits four-month low as Trump trade deflates
2017-03-27,2017-03-27,Dollar continues to wobble amid Trump jitters
2017-03-27,2017-03-27,Forex - Dollar index hits November lows on Trump trade doubts
2017-03-27,2017-03-27,"South Africa's Zuma recalls Gordhan from international roadshow, rand falls"
2017-03-27,2017-03-27,Forex - Canadian dollar little changed on weak oil prices
2017-03-27,2017-03-27,Forex - Euro hits highest level against dollar since November 
2017-03-27,2017-03-27,Forex - Dollar slumps after healthcare bill failure
2017-03-27,2017-03-27,Charts suggest dollar may face critical point this week
2017-03-27,2017-03-27,What to expect from sterling as Brexit begins
2017-03-27,2017-03-27,Forex - Dollar drops to 4-month lows after U.S. healthcare flop
2017-03-27,2017-03-27,Dollar lower as Trump healthcare vote pulled
2017-03-26,2017-03-26,Forex - Dollar falls to lowest vs yen since November on healthcare fail
2017-03-26,2017-03-26,PBOC Sets yuan parity rate at 6.8701 against dollar
2017-03-26,2017-03-26,Forex - Dollar weaker in Asia as political risk highlighted
2017-03-26,2017-03-26,Forex - Weekly outlook: March 27 - 31
2017-03-24,2017-03-24,CFTC: Sterling Speculative Net Shorts at All-Time High
2017-03-24,2017-03-24,Healthcare bill dropped; dollar off lows
2017-03-24,2017-03-24,Dollar weak as investors await U.S. healthcare vote
2017-03-24,2017-03-24,Dollar trickles lower; as key vote to replace Obamacare draws closer
2017-03-24,2017-03-24,Forex - Dollar edges lower ahead of U.S. healthcare vote
2017-03-24,2017-03-24,"Forex - USD/CAD trims gains, healthcare bill on tap"
2017-03-24,2017-03-24,Forex - Dollar index little changed after tepid U.S. data
2017-03-24,2017-03-24,Euro above $1.08 as euro-zone PMI hits highest level in six years
2017-03-24,2017-03-24,Forex - Dollar index turns lower amid U.S. political woes
2017-03-24,2017-03-24,Forex - EUR/USD erases losses on strong E.Z. PMI reports
2017-03-24,2017-03-24,Forex - Dollar higher but upside limited ahead of U.S. healthcare vote
2017-03-24,2017-03-24,Dollar higher as U.S. healthcare vote delayed
2017-03-23,2017-03-23,PBOC Sets yuan parity rate at 6.8845 against dollar
2017-03-23,2017-03-23,Forex - Dollar gains in Asia as U.S. showdown looms on healthcare vote
2017-03-23,2017-03-23,Dollar trades in tight range as U.S. healthcare vote looms
2017-03-23,2017-03-23,Dollar firms; sterling hits four-week high
2017-03-23,2017-03-23,"Forex - Dollar holds onto modest gains, U.S. healthcare bill on tap"
2017-03-23,2017-03-23,"Bitcoin spikes above $1,000"
2017-03-23,2017-03-23,Forex - USD/CAD pares gains after U.S. data
2017-03-23,2017-03-23,Forex - Dollar trims gains after U.S. jobless claims disappoint
2017-03-23,2017-03-23,Forex - Dollar edges higher as focus turns to U.S. politics
2017-03-23,2017-03-23,Forex - Sterling pops higher after UK retail sales handily beat forecast
2017-03-23,2017-03-23,Forex - Dollar takes a breather before U.S. healthcare vote
2017-03-23,2017-03-23,"Dollar flat with focus on U.S. healthcare bill, Yellen"
2017-03-23,2017-03-23,"Forex - Aussie slips lower, kiwi edges higher as RBNZ holds"
2017-03-22,2017-03-22,PBOC Sets yuan parity rate at 6.8856 against dollar
2017-03-22,2017-03-22,Forex - Dollar gains in Asia as focus turns to Trump healthcare vote
2017-03-22,2017-03-22,Forex - Kiwi trades weaker as RBNZ holds rates steady as expected
2017-03-22,2017-03-22,'Terrorist incident' in London causes only brief fall for sterling
2017-03-22,2017-03-22,Dollar slump continues amid Trump jitters
2017-03-22,2017-03-22,"Forex - Dollar index turns lower, focus on London attack"
2017-03-22,2017-03-22,Forex - Sterling hits day’s lows after shooting at UK parliament
2017-03-22,2017-03-22,"Forex - USD/CAD trims gains, pulls back from 1-week highs"
2017-03-22,2017-03-22,Forex - Dollar holds onto modest gains ahead of U.S. data
2017-03-22,2017-03-22,Forex - Dollar bounces off 6-week trough but remains under pressure
2017-03-22,2017-03-22,Forex - Dollar at 4-month lows vs. yen in risk-off trade
2017-03-22,2017-03-22,Dollar steadies after sell-off on U.S. rate outlook
2017-03-22,2017-03-22,"Forex - Aussie slips lower, kiwi holds steady vs. greenback"
2017-03-22,2017-03-22,"Dollar near four-month low vs. yen as Treasury yields, stocks slide"
2017-03-22,2017-03-22,"Forex - Dollar rebounds in Asia, NKorea missile test, Fed views noted"
2017-03-21,2017-03-21,PBOC sets yuan parity rate at 6.8889 against dollar
2017-03-21,2017-03-21,"Forex - Dollar weaker in Asia, Japan trade, BoJ noted"
2017-03-21,2017-03-21,Dollar slumps; sterling and euro hit highs
2017-03-21,2017-03-21,"Forex - Dollar extends slide, euro tops $1.08"
2017-03-21,2017-03-21,Bullish dollar bets seen fully unwound: Bank of America Merrill Lynch
2017-03-21,2017-03-21,Forex - Canadian dollar hits 3-week highs after upbeat retail sales
2017-03-21,2017-03-21,"Forex - Dollar index extends losses, touches 6-week lows"
2017-03-21,2017-03-21,Pound jumps as U.K. consumer price inflation higher than expected
2017-03-21,2017-03-21,Forex - Sterling hits 3-week highs on sharp rise in UK inflation 
2017-03-21,2017-03-21,"Forex - Dollar stays on the defensive, euro hits 6-week highs"
2017-03-21,2017-03-21,Dollar index slips below 100 after Fed speak
2017-03-21,2017-03-21,"Dollar slips on doubts Fed will speed rate hikes, euro edges up"
2017-03-20,2017-03-20,"Forex - Dollar weaker in Asia ahead of Fed policymakers, risks weighed"
2017-03-20,2017-03-20,PBOC Sets yuan parity rate at 6.9071 against dollar
2017-03-20,2017-03-20,Bitcoin steadies after biggest three-day tumble in over two years
2017-03-20,2017-03-20,Dollar turns positive; sterling slides on Brexit concerns
2017-03-20,2017-03-20,"Forex - Dollar on defensive, sterling lower after Brexit news"
2017-03-20,2017-03-20,Dollar dips to six-week low as Fed rate outlook continues to weigh
2017-03-20,2017-03-20,Big banks back off calls for euro-dollar parity
2017-03-20,2017-03-20,Forex - Canadian dollar little changed in risk-off trade
2017-03-20,2017-03-20,The Russian ruble is dipping
2017-03-20,2017-03-20,Pound dips below $1.24 as U.K. to trigger Brexit on March 29
2017-03-20,2017-03-20,"Forex - Dollar remains weak, sterling slips on Article 50 news"
2017-03-20,2017-03-20,"Forex - Dollar hits fresh 5-week lows, sterling firm "
2017-03-20,2017-03-20,Dollar index below 100 after G20 take on trade
2017-03-20,2017-03-20,"Forex - Dollar holds weaker in Asia on G20 trade views, index below 100"
2017-03-19,2017-03-19,Forex - Dollar weaker in Asia after trade views at G20 meeting 
2017-03-19,2017-03-19,PBOC Sets yuan parity rate at 6.8998 against dollar
2017-03-19,2017-03-19,Gold / Silver / Copper futures - weekly outlook: March 20 - 24
2017-03-19,2017-03-19,Forex - Weekly outlook: March 20 - 24
2017-03-17,2017-03-17,"Dollar stays weak, but long-term outlook still upbeat"
2017-03-17,2017-03-17,"CFTC: Speculators More Bearish on Sterling, Yen; S&P 500 Longs at 6-Month High"
2017-03-17,2017-03-17,Dollar turns positive after slump to 5-week low
2017-03-17,2017-03-17,"Forex - Dollar holds onto modest gains, but remains near 5-week trough"
2017-03-17,2017-03-17,Forex - USD/CAD pares gains after upbeat Canadian data
2017-03-17,2017-03-17,Forex - Dollar turns slightly higher with U.S. data ahead
2017-03-17,2017-03-17,Dollar bounces back after dipping below 100 mark on 
2017-03-17,2017-03-17,Euro firm as markets price in ECB deposit rate hike
2017-03-17,2017-03-17,"Forex - Dollar hovers at 5-week lows, U.S. data on tap"
2017-03-17,2017-03-17,Forex - Dollar steady at 5-week lows as Fed tone still weighs
2017-03-16,2017-03-16,"Forex - Yen holds weaker in Asia, U.S. consumer survey ahead"
2017-03-16,2017-03-16,"Forex - Dollar gains slightly against yen in Asia, U.S. data eyed"
2017-03-16,2017-03-16,PBOC Sets yuan parity rate at 6.8873 against dollar
2017-03-16,2017-03-16,Dollar swings lower; sterling trades near highs
2017-03-16,2017-03-16,Forex - Dollar index edges back down to 1-month lows
2017-03-16,2017-03-16,Forex - USD/CAD almost unchanged near 2-week lows
2017-03-16,2017-03-16,Forex - Dollar little changed vs. rivals after mostly positive U.S. data
2017-03-16,2017-03-16,Forex - Sterling hits 2-week highs as BoE rate decision split
2017-03-16,2017-03-16,"Forex - Dollar edges higher, markets digest central bank moves"
2017-03-16,2017-03-16,"Forex - Dollar near 1-month lows after Fed, Dutch election lifts euro"
2017-03-16,2017-03-16,Dollar steadies as Fed leans on dovish side
2017-03-16,2017-03-16,"Forex - Aussie, kiwi move lower vs. greenback in late trade"
2017-03-16,2017-03-16,"Dutch election outlook buoys euro, dollar struggles at one-month low"
2017-03-15,2017-03-15,"Forex - Aussie falls after poor jobs data, BoJ review ahead"
2017-03-15,2017-03-15,"Forex - Dollar gains vs yen in Asia, BoJ Aussie jobs eyed"
2017-03-15,2017-03-15,Dollar sheds 1% after Fed rate hike
2017-03-15,2017-03-15,Trump trade adviser strikes conciliatory tone on Mexico; peso firms
2017-03-15,2017-03-15,Dollar trades close to session lows as investors await Fed decision
2017-03-15,2017-03-15,Forex - Dollar still lower vs. rivals amid Fed jitters
2017-03-15,2017-03-15,Dollar slips as markets await Fed rate outlook
2017-03-15,2017-03-15,Forex - USD/CAD trims losses but remains under pressure
2017-03-15,2017-03-15,Forex - Dollar remains on the downside after U.S. data
2017-03-15,2017-03-15,Deutsche Bank turns less bearish on the euro
2017-03-15,2017-03-15,Forex - Dollar index remains on the downside with eyes on Fed
2017-03-15,2017-03-15,Forex - Sterling pares gains as UK wage growth slows 
2017-03-15,2017-03-15,Forex - Dollar moves lower ahead of Fed interest rate decision
2017-03-15,2017-03-15,"Dollar off ahead of FOMC, euro firm as Dutch election kicks off"
2017-03-15,2017-03-15,"Forex - Aussie, kiwi move higher vs. greenback ahead of Fed decision"
2017-03-14,2017-03-14,Forex - Dollar gains in Asia as all eyes on Fed decision
2017-03-14,2017-03-14,Dollar off highs as Fed meeting kicks off
2017-03-14,2017-03-14,"Forex - Dollar trims gains ahead of Fed decision, sterling off the lows"
2017-03-14,2017-03-14,Forex - Canadian dollar lower as oil prices fall
2017-03-14,2017-03-14,"Forex - Dollar higher ahead of Fed, sterling hit as Brexit looms"
2017-03-14,2017-03-14,Forex - Sterling hits 2-month lows as prospect of Brexit looms
2017-03-14,2017-03-14,Sterling sinks to eight-week low
2017-03-14,2017-03-14,"Dollar rises ahead of Fed, political risk weighs in Europe"
2017-03-14,2017-03-14,"Forex - Dollar higher before Fed, Brexit woes hit sterling"
2017-03-14,2017-03-14,"Dollar firm ahead of FOMC, pound falls as Brexit looms"
2017-03-13,2017-03-13,"Forex - Aussie down after NAB, China industrial output noted"
2017-03-13,2017-03-13,Forex - Aussie holds weaker after NAB surveys
2017-03-13,2017-03-13,Forex - Aussie down slightly ahead of NAB surveys
2017-03-13,2017-03-13,Dollar struggles to hold onto gains as pound trades near session highs
2017-03-13,2017-03-13,Forex - Dollar lower as markets in holding pattern before Fed
2017-03-13,2017-03-13,Forex - Canadian dollar edges higher with Fed in focus
2017-03-13,2017-03-13,Bitcoin is making a gigantic comeback
2017-03-13,2017-03-13,Forex - Sterling gains ground ahead of Brexit bill vote
2017-03-13,2017-03-13,Dollar steadies after three-day fall
2017-03-13,2017-03-13,"Forex - Euro touches 1-month highs, dollar lower ahead of Fed"
2017-03-13,2017-03-13,"Bitcoin steadies above $1,200 after slump on SEC rejection of ETF request"
2017-03-13,2017-03-13,Dollar off before Fed meeting as euro hits $1.07 on ECB rate hike talk
2017-03-12,2017-03-12,Forex - Yen weaker after core machinery orders disappoint
2017-03-12,2017-03-12,Forex - Yen slightly stronger ahead of core machinery orders
2017-03-12,2017-03-12,Forex - Weekly Outlook: March 13 - 17
2017-03-10,2017-03-10,"CFTC: Speculators More Bearish on Euro, Sterling, Japanese Yen; More Bullish on S&P 500"
2017-03-10,2017-03-10,Euro surges against the dollar amid reports of ECB rate hike chatter 
2017-03-10,2017-03-10,Dollar trades at lows as wage growth slowed in February
2017-03-10,2017-03-10,Forex - Dollar still lower vs. rivals but downside seen limited
2017-03-10,2017-03-10,"Forex - USD/CAD drops after strong Canadian, U.S. jobs data"
2017-03-10,2017-03-10,Dollar slips further after nonfarm payrolls as wages disappoint
2017-03-10,2017-03-10,Forex - Dollar pushes slightly lower despite U.S. jobs data
2017-03-10,2017-03-10,Forex - Dollar index slips lower ahead of NFP report
2017-03-10,2017-03-10,"Dollar lower before jobs data, firms vs. yen"
2017-03-10,2017-03-10,Forex - GBP/USD edges higher after mixed U.K. data
2017-03-10,2017-03-10,Forex - Dollar almost unchanged ahead of nonfarm payrolls
2017-03-10,2017-03-10,"Dollar on track for winning week as U.S. jobs data awaited, euro firm"
2017-03-09,2017-03-09,Forex - Korean won recovers after court affirms Park's impeachment
2017-03-09,2017-03-09,"Forex - Dollar rebounds in Asia as Korea eyed, U.S. jobs ahead"
2017-03-09,2017-03-09,Forex - Dollar weaker in early Asia with attention on South Korea
2017-03-09,2017-03-09,Dollar off lows but remains under pressure ahead of jobs data
2017-03-09,2017-03-09,"Forex - Dollar slips lower, focus turns to NFP report"
2017-03-09,2017-03-09,Euro jumps as ECB's Draghi sees single currency as 
2017-03-09,2017-03-09,Forex - Euro hits day’s highs after Draghi remarks
2017-03-09,2017-03-09,Forex - USD/CAD pulls back from 2-month highs in early trade
2017-03-09,2017-03-09,Forex - Dollar holds steady after U.S. jobless claims disappoint
2017-03-09,2017-03-09,"Forex - Euro trims gains as dovish ECB holds steady, Draghi ahead"
2017-03-09,2017-03-09,"Forex - Dollar little changed, near 2-month peak vs. rivals"
2017-03-09,2017-03-09,Higher yields drive dollar to three-week high vs yen
2017-03-09,2017-03-09,Forex - Dollar steady near 2-month highs on rate hike view
2017-03-09,2017-03-09,Dollar firm as rate hike priced in
2017-03-09,2017-03-09,"Forex - Aussie, kiwi move lower vs. stronger greenback"
2017-03-08,2017-03-08,"Forex - Dollar gains after China CPI, focus on Fed"
2017-03-08,2017-03-08,PBOC Sets yuan parity rate at 6.9125 against dollar
2017-03-08,2017-03-08,Dollar trades at session high after bullish ADP report
2017-03-08,2017-03-08,Forex - Dollar gains as ADP data boosts rate hike bets
2017-03-08,2017-03-08,Dollar index hits five-day high after strong U.S. payrolls data
2017-03-08,2017-03-08,Forex - Canadian dollar hits two-month lows after US ADP data
2017-03-08,2017-03-08,Dollar index jumps above 102 after surge in U.S. job creation
2017-03-08,2017-03-08,Forex - Dollar hits day’s highs after strong ADP data
2017-03-08,2017-03-08,Pound falls ahead of U.K. budget statement
2017-03-08,2017-03-08,"Forex - Dollar index edges higher, ADP report on tap"
2017-03-08,2017-03-08,Forex - Sterling hits 7-week lows ahead of UK budget statement
2017-03-08,2017-03-08,Forex - Dollar rangebound with U.S. jobs report in focus
2017-03-08,2017-03-08,Dollar edges lower as eyes turn to U.S. jobs report
2017-03-08,2017-03-08,"Forex - Aussie little changed, kiwi moves higher in late trade"
2017-03-07,2017-03-07,"Forex - Yen gains after China warns NKorea on missiles, nukes"
2017-03-07,2017-03-07,Canadian dollar steadies as exports rise; jobs data and Fed eyed
2017-03-07,2017-03-07,Dollar trickles lower; euro off lows
2017-03-07,2017-03-07,Forex - Dollar pushes higher amid Fed rate hike bets
2017-03-07,2017-03-07,Bitcoin falls over 3%
2017-03-07,2017-03-07,Forex - Canadian dollar near two-month lows after trade data
2017-03-07,2017-03-07,Bitcoin plunges sharply and suddenly
2017-03-07,2017-03-07,Forex - Dollar holds gains after U.S. trade data
2017-03-07,2017-03-07,"Dollar inches higher, eyes on trade numbers"
2017-03-07,2017-03-07,Forex - Dollar steady amid Fed rate hike optimism
2017-03-07,2017-03-07,Dollar mostly flat as March Fed hike firmly on the cards
2017-03-06,2017-03-06,Forex - Aussie holds gains as RBA holds at 1.50% as expected
2017-03-06,2017-03-06,Forex - Aussie gains slightly in Asia ahead of RBA rate review
2017-03-06,2017-03-06,Dollar advances as euro approaches session lows 
2017-03-06,2017-03-06,"Forex - Dollar off the lows, euro hit by French election uncertainty"
2017-03-06,2017-03-06,Forex - Canadian dollar dips amid diverging policy view
2017-03-06,2017-03-06,"Forex - Dollar off the lows, euro slides"
2017-03-06,2017-03-06,Euro below $1.06 as Juppe rules out French presidential candidacy
2017-03-06,2017-03-06,Forex - Euro touches day’s lows as Juppe not to run in French elections
2017-03-06,2017-03-06,Dollar retreats from Fed-inspired rally
2017-03-06,2017-03-06,"Forex - Dollar slips against yen, muted elsewhere"
2017-03-06,2017-03-06,"Dollar steady after Yellen hike talk, yen firms as NKorea tests missiles"
2017-03-05,2017-03-05,Forex - Aussie down after NKorea missile test rattles markets
2017-03-05,2017-03-05,"Forex - Aussie gains ahead of retail sales, North Korea incident eyed"
2017-03-05,2017-03-05,Forex - Weekly outlook: March 6 - 10
2017-03-03,2017-03-03,"CFTC: Speculators More Bullish on Gold, S&P 500, AUD"
2017-03-03,2017-03-03,Dollar hits lows after Yellen hints at March rate hike
2017-03-03,2017-03-03,Dollar inches higher ahead of Yellen speech
2017-03-03,2017-03-03,Mexico peso surges to strongest level since Trump election
2017-03-03,2017-03-03,What if the euro imploded? Six trade ideas
2017-03-03,2017-03-03,Forex - Dollar pushes lower with Yellen speech in focus
2017-03-03,2017-03-03,"Forex - USD/CAD pares gains, pulls away from 2-month peak"
2017-03-03,2017-03-03,Dollar retreats after bullish week
2017-03-03,2017-03-03,Forex - Dollar slips lower as profit-taking continues
2017-03-03,2017-03-03,"Pound hits mid-January lows as U.K. services sector weakens, May speech ahead"
2017-03-03,2017-03-03,"Forex - Dollar little changed, near 7-week highs"
2017-03-03,2017-03-03,Forex - GBP/USD hits fresh 6-week lows as U.K. data disappoints
2017-03-03,2017-03-03, U.K. services activity continues to slip to 5-month low in February
2017-03-03,2017-03-03,Dollar eases but March rate hike bets still on
2017-03-03,2017-03-03,"Forex - Dollar slips lower on profit-taking, remains supported"
2017-03-02,2017-03-02,Forex - Dollar weaker in Asia as Trump hits new Russia speedbump 
2017-03-02,2017-03-02,Dollar inches higher; sterling trades near session lows
2017-03-02,2017-03-02,Forex - Dollar remains broadly higher vs. other majors
2017-03-02,2017-03-02,Reuters Poll: Trump administration's dollar policy not clear - FX strategists
2017-03-02,2017-03-02,Dollar gains as U.S. March rate hike seen more likely
2017-03-02,2017-03-02,Dollar extends gains as jobless claims at lowest since 1973
2017-03-02,2017-03-02,"Forex - USD/CAD at 5-week highs after Canadian, U.S. data"
2017-03-02,2017-03-02,Forex - Dollar hits fresh 7-week highs after U.S. jobless claims
2017-03-02,2017-03-02,"Bitcoin prices rise to fresh all-time high above $1,230 with ETF nearing"
2017-03-02,2017-03-02,Poll: Czech crown could firm as central bank is seen removing cap
2017-03-02,2017-03-02,Poll: Sterling set for slow burn through initial EU divorce proceedings
2017-03-02,2017-03-02,Forex - Dollar remains broadly higher on rate hike talk
2017-03-02,2017-03-02,Forex - Sterling touches fresh six-week lows after PMI data
2017-03-02,2017-03-02,"Yuan, rupee outlook sours on Fed interest rate hike bets: Reuters poll"
2017-03-02,2017-03-02,Forex - Dollar near 7-week highs as Fed lines up March rate hike
2017-03-02,2017-03-02,Dollar firm as Fed ups the ante on rate hike
2017-03-02,2017-03-02,"Forex - Aussie, kiwi lower vs. greenback after mixed Australian data"
2017-03-01,2017-03-01,"Forex - Dollar holds gains in Asia on regional data, Fed views"
2017-03-01,2017-03-01,Dollar trades higher on stronger expectations of a March rate hike 
2017-03-01,2017-03-01,Egypt's pound weakens as importers prepare for Ramadan
2017-03-01,2017-03-01,Forex - Dollar index trims gains but remains supported
2017-03-01,2017-03-01,Forex - USD/CAD at more than 5-week highs after BoC holds
2017-03-01,2017-03-01,"Forex - Dollar extends gains, hits 7-week highs"
2017-03-01,2017-03-01,Forex - Dollar hovers at 2-week highs vs. other majors
2017-03-01,2017-03-01,Forex - Sterling at 3-week lows as UK manufacturing activity slows
2017-03-01,2017-03-01,Dollar surges as Fed speakers raise hopes of March hike
2017-03-01,2017-03-01,Forex - Dollar moves higher on Fed rate hike bets
2017-03-01,2017-03-01,Dollar higher as March Fed hike odds jump on Fed speak
2017-03-01,2017-03-01,"Forex - Aussie, kiwi move lower vs. broadly stronger greenback"
2017-02-28,2017-02-28,Forex - Dollar gains in Asia as Trump lays out stern agenda
2017-02-28,2017-02-28,Dollar approaching session lows ahead of Trump's speech
2017-02-28,2017-02-28,Dollar edges lower ahead of Trump address
2017-02-27,2017-02-27,Forex - Dollar gains in Asia in busy regional data flow
2017-02-27,2017-02-27,"Dollar turns positive, as hopes of March rate hike increase"
2017-02-27,2017-02-27,Dollar off lows but remains under pressure
2017-02-27,2017-02-27,Dollar weaker as investors await details on Trump tax plans
2017-02-27,2017-02-27,Pound dips on possible new Scottish independence vote push
2017-02-26,2017-02-26,Dollar edges to lowest against yen since February 9
2017-02-26,2017-02-26,"Forex - Pound weaker in Asia on Brexit, Scotland views, Aussie up"
2017-02-26,2017-02-26,"Pound sterling dips 0.50% in early Asian trade, Scottish vote eyed"
2017-02-26,2017-02-26,Forex - Weekly outlook: February 27 - March 3
2017-02-24,2017-02-24,CFTC: Speculators More Bearish on Euro; Crude Oil Net Longs at All-time High
2017-02-24,2017-02-24,"Specs raise net long U.S. dollar bets in week: CFTC, Reuters data"
2017-02-24,2017-02-24,Dollar heads for 3-day losing streak
2017-02-24,2017-02-24,Forex - Dollar index pares losses after U.S. data
2017-02-24,2017-02-24,"Forex - USD/CAD trims losses, bounces off 1-week trough"
2017-02-24,2017-02-24,Forex - Dollar hits one-week lows vs. other majors
2017-02-24,2017-02-24,"Bitcoin hits record high above $1,200 on talk of ETF approval"
2017-02-24,2017-02-24,"Forex - Dollar index edges lower, U.S. data ahead"
2017-02-24,2017-02-24,Bitcoin hits record high on ETF approval speculation
2017-02-24,2017-02-24,Dollar slips as 'Trumpflation trade' fades
2017-02-24,2017-02-24,"Dollar flat, set for weekly losses after Fed minutes"
2017-02-24,2017-02-24,"Forex - Dollar little changed, Fed minutes still weigh"
2017-02-23,2017-02-23,"Forex - Dollar gains in Asia on Mnuchin tax views, investors mull Fed"
2017-02-23,2017-02-23,"Bitcoin hits 3-year peak, nears record high on U.S. ETF approval talk"
2017-02-23,2017-02-23,Pound makes strong gains as dollar retreats
2017-02-23,2017-02-23,"Dollar dips as U.S. policy worries, Fed minutes weigh"
2017-02-23,2017-02-23,Forex - Dollar pushes lower vs. other majors
2017-02-23,2017-02-23,"Bitcoin rises for 10th day in a row, closes in on all-time high"
2017-02-23,2017-02-23,"Forex - USD/CAD drops on U.S. data, climbing oil prices"
2017-02-23,2017-02-23,Forex - Dollar turns lower after downbeat U.S. jobless claims 
2017-02-23,2017-02-23,"Forex - Dollar almost unchanged after Fed minutes, data ahead"
2017-02-23,2017-02-23,Forex - Dollar little changed after slightly dovish Fed minutes
2017-02-23,2017-02-23,Dollar flat as Fed minutes point to hike 'fairly soon'
2017-02-23,2017-02-23,"Forex - Aussie edges lower, kiwi gains ground vs. greenback"
2017-02-22,2017-02-22,Forex - Aussie dips as private capital expenditure sags
2017-02-22,2017-02-22,Dollar creeps lower ahead of Fed minutes; Rumble in the ruble
2017-02-22,2017-02-22,Forex - Euro off day’s lows as French election fears ease
2017-02-22,2017-02-22,"Forex - Dollar trims gains, euro bounces off lows"
2017-02-22,2017-02-22,Forex - USD/CAD at 2-week highs after weak Canadian data
2017-02-22,2017-02-22,The ruble is tumbling after Russia's unemployment rate jumps
2017-02-22,2017-02-22,Forex - Dollar index remains higher in subdued trade
2017-02-22,2017-02-22,Forex - Euro hits 6-week lows as political woes weigh
2017-02-22,2017-02-22,Pound softens after revised U.K. GDP data
2017-02-22,2017-02-22,Forex - Dollar holds onto gains with Fed minutes in focus
2017-02-22,2017-02-22,Forex - Sterling retraces gains after UK GDP data
2017-02-22,2017-02-22,"Political noise, Fed pushes euro below $1.05"
2017-02-22,2017-02-22,"Forex - Dollar at 1-week highs ahead of Fed minutes, euro weaker"
2017-02-22,2017-02-22,Dollar flat ahead of Fed minutes
2017-02-22,2017-02-22,"Forex - Aussie edges higher, kiwi steady ahead of Fed minutes"
2017-02-21,2017-02-21,"Forex - Aussie gains in Asia on wages data, Fed minutes ahead"
2017-02-21,2017-02-21,Dollar off session highs; euro slides nearly 1%
2017-02-21,2017-02-21,"Dollar gains on hawkish Fed comments, European political risk"
2017-02-21,2017-02-21,Forex - Dollar strengthens on March rate hike hopes
2017-02-21,2017-02-21,"Bitcoin soars above $1,100"
2017-02-21,2017-02-21,Forex - Canadian dollar sinks to 1-1/2 week lows
2017-02-21,2017-02-21,Forex - Dollar moves higher on March rate hike hopes
2017-02-21,2017-02-21,Euro near lows despite strong PMIs as political concerns weigh
2017-02-21,2017-02-21,Forex - Dollar strengthens as markets await Fed minutes
2017-02-21,2017-02-21,Dollar higher as U.S. rate outlook weighed
2017-02-20,2017-02-20,"Forex - Dollar gains in Asia after overnight lull, Aussie down"
2017-02-20,2017-02-20, Forex - Dollar edges lower in thin holiday trade
2017-02-20,2017-02-20,Forex - Dollar dips in quiet holiday-thinned trade
2017-02-20,2017-02-20,"Risk-on mood, signs from French left prod euro higher"
2017-02-20,2017-02-20,Forex - Dollar little changed in quiet trade ahead of U.S. holiday
2017-02-20,2017-02-20,Dollar index eases in holiday trade
2017-02-19,2017-02-19,"Forex - Dollar gains after Japan trade data, Greece back in focus"
2017-02-19,2017-02-19,Forex - Weekly outlook: February 20 - 24
2017-02-17,2017-02-17,CFTC: Speculative Crude Oil Net Longs at All-Time High
2017-02-17,2017-02-17,Dollar gets its groove back; pound and euro take a tumble
2017-02-17,2017-02-17,Forex - Dollar index pushes higher in quiet trade
2017-02-17,2017-02-17,Forex - USD/CAD edges higher in early trade
2017-02-17,2017-02-17,"Forex - Dollar higher vs. other majors, U.S. optimism resurfaces"
2017-02-17,2017-02-17,"Election risks, retail sales hurt pound and euro"
2017-02-17,2017-02-17,Forex - GBP/USD drops on downbeat U.K. retail sales
